!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*;Blight;4;Necromancy (Black);Death;1 action;;;Instantaneous;V, S;Cleric (Blood), Cleric (Death), Cleric (Grave), Druid, Druid (Desert), Paladin (Conquest), Paladin (Oathbreaker), Warlock, Wizard;#!spells/Level4/Blight.md
no ritual,Bard*,Warlock*;Compulsion;4;Enchantment (Compulsion);Darkness;1 action;Concentration;;1 minute;V, S;Bard, Cleric (Obedience), Sorcerer (Desire Demon), Warlock;#!spells/Level4/Compulsion.md
no ritual,Bard*,Druid*,Wizard*;Confusion;4;Enchantment (Compulsion);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Cleric (Knowledge), Druid, Paladin (Oathbreaker), Warlock (Great Old One), Wizard, Paladin (Treachery);#!spells/Level4/Confusion.md
no conc,no concentration,no ritual,Cleric*,Druid*,Wizard*;Control Water;4;Transmutation;Water;1 action;;;10 minutes;V, S, F;Cleric, Cleric (Tempest), Druid, Druid (Coast), Warlock (Archfey), Wizard;#!spells/Level4/Control Water.md
no conc,no concentration,no ritual,Wizard*;Corpse Explosion;4;Necromancy (Black);Death;1 action;;;Instantaneous;V, S, F;Cleric (Death), Warlock (Undying), Wizard;#!spells/Level4/Corpse Explosion.md
no conc,no concentration,no ritual,Cleric*,Paladin*;Death Ward;4;Abjuration;Light;1 action;;;8 hours;V, S;Cleric, Cleric (Grave), Cleric (Life), Cleric (Preservation), Paladin, Warlock (Undying);#!spells/Level4/Death Ward.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Dimension Door;4;Conjuration (Teleportation);Aether;1 action;;;Instantaneous;V;Bard, Cleric (Trickery), Paladin (Vengeance), Warlock, Wizard;#!spells/Level4/Dimension Door.md
no conc,no concentration,Cleric*;Divination;4;Divination;Water;1 action;;Ritual;Instantaneous;V, S, M (incense and a sacrificial offering appropriate to your religion, together worth at least 25 gp, which the spell consumes);Cleric, Druid (Forest), Druid (Grassland), Sorcerer (Dream Walker);#!spells/Level4/Divination.md
no ritual,Druid*;Dominate Beast;4;Enchantment (Compulsion);Fire;1 action;Concentration;;Concentration, up to 1 minute;V, S;Cleric (Nature), Druid, Warlock (Archfey), Paladin (Conquest), Sorcerer (Earth Elemental), Sorcerer (Desire Demon);#!spells/Level4/Dominate Beast.md
no ritual,Wizard*;Enclosing Sphere;4;Evocation;Aether;1 action;Concentration;;Concentration, up to 1 minute;V, S, F, M (a prasiolite);Wizard, Cleric (Protection);#!spells/Level4/Enclosing Sphere.md
no conc,no concentration,no ritual,Wizard*;Ethereal Storage;4;Conjuration (Teleportation);Aether;1 action;;;Instantaneous;V, S, M (an exquisite chest, 3 feet by 2 feet by 2 feet, constructed from rare materials worth at least 5,000 gp, and a Tiny replica made from the same materials worth at least 50 gp);Cleric (Arcana), Wizard;#!spells/Level4/Ethereal Storage.md
no conc,no concentration,no ritual,Wizard*;Fabricate;4;Transmutation;Earth;10 minutes;;;Instantaneous;V, S;Wizard, Cleric (Forge);#!spells/Level4/Fabricate.md
no conc,no concentration,no ritual,Wizard*;Flame Shield;4;Evocation;Fire;1 action;;;10 minutes;V, S, F;Warlock (Aeonian Flame), Warlock (Fiend), Wizard, Cleric (Zeal);#!spells/Level4/Flame Shield.md
no conc,no concentration,no ritual,Bard*,Cleric*,Ranger*;Freedom of Movement;4;Abjuration;Air;1 action;;;1 hour;V, S, F;Bard, Cleric, Cleric (War), Cleric (Zeal) Druid, Druid (Arctic), Druid (Coast), Druid (Forest), Druid (Grassland), Druid (Swamp), Paladin (Devotion), Ranger, Sorcerer (Air Elemental), Warlock (Void);#!spells/Level4/Freedom of Movement.md
no conc,no concentration,no ritual,Druid*,Ranger*;Grasping Vine;4;Conjuration (Creation);Earth;1 bonus action;;;1 minute;V, S;Cleric (Nature), Druid, Ranger;#!spells/Level4/Grasping Vine.md
no conc,no concentration,no ritual,Cleric*;Guardian of Faith;4;Conjuration (Summoning);Light;1 action;;;8 hours;V;Cleric, Cleric (Life), Cleric (Light), Cleric (Preservation), Cleric (Protection), Paladin (Crown), Paladin (Devotion), Warlock (Aeonian Flame);#!spells/Level4/Guardian of Faith.md
no conc,no concentration,no ritual,Druid*,Wizard*;Hailstorm;4;Evocation;Water;1 action;;;Instantaneous;V, S, F;Cleric (Tempest), Druid, Druid (Arctic), Paladin (Ancients), Wizard;#!spells/Level4/Hailstorm.md
no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*,Wizard*;Locate Creature;4;Divination;Water;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Bard, Cleric, Cleric (City), Cleric (Obedience), Druid, Druid (Swamp), Paladin, Ranger, Warlock (Seeker), Wizard;#!spells/Level4/Locate Creature.md
no ritual,Bard*,Druid*,Warlock*,Wizard*;Polymorph;4;Transmutation;Aether;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Bard, Cleric (Trickery), Druid, Warlock, Wizard;#!spells/Level4/Polymorph.md
no conc,no concentration,no ritual,Cleric*,Druid*,Wizard*;Stone Shape;4;Transmutation;Earth;1 action;;;Instantaneous;V, S, F;Cleric, Druid, Druid (Mountain), Druid (Underdark), Wizard;#!spells/Level4/Stone Shape.md
no conc,no concentration,no ritual,Druid*,Ranger*,Wizard*;Stoneskin;4;Abjuration;Earth;1 action;;;1 hour;V, S, M (a peridot worth 100 gp, which the spell consumes);Cleric (War), Druid, Druid (Mountain), Paladin (Ancients), Ranger, Warlock (Undying), Wizard;#!spells/Level4/Stoneskin.md
no ritual,Warlock*,Wizard*;Synchronicity;4;Divination;Aether;1 action;Concentration;;Concentration, up to 1 hour;V, S;Warlock, Wizard, Cleric (City), Warlock (Ghost in the Machine);#!spells/Level4/Synchronicity.md
no conc,no concentration,no ritual;Vascular Vitriol;4;Hemomancy;Water;1 action;;;10 minutes;V, S, F;Cleric (Blood);#!spells/Level4/Vascular Vitriol.md
no ritual,Druid*,Wizard*;Wall of Fire;4;Evocation;Fire;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Forge), Druid, Warlock (Aeonian Flame), Warlock (Fiend), Wizard;#!spells/Level4/Wall of Fire.md
no ritual,Bard*,Wizard*;Animate Objects;5;Transmutation;Aether;1 action;Concentration;;Concentration, up to 10 minutes;V, S;Bard, Warlock (Seeker), Wizard, Cleric (Forge);#!spells/Level5/Animate Objects.md
no ritual,Druid*;Antilife Shell;5;Abjuration;Death;1 action;Concentration;;Concentration, up to 1 hour;V, S;Cleric (Death), Cleric (Protection), Cleric (Grave), Druid, Warlock (Undying);#!spells/Level5/Antilife Shell.md
no ritual,Wizard*;Cloudkill;5;Conjuration (Creation);Death;1 action;Concentration;;Concentration, up to 10 minutes;V, S;Cleric (Death), Druid (Subterranean), Warlock (Undying), Wizard;#!spells/Level5/Cloudkill.md
no conc,no concentration,Warlock*,Wizard*;Commune with City;5;Divination;Aether;1 minute;;Ritual;Instantaneous;V, S;Warlock, Wizard, Cleric (City);#!spells/Level5/Commune with City.md
no conc,no concentration,Cleric*;Commune;5;Divination;Aether;1 minute;;Ritual;1 minute;V, S, M (incense and a vial of holy or unholy water);Cleric, Cleric (Obedience), Paladin (Devotion), Sorcerer (Djinni), Sorcerer (Dream Walker), Warlock (Seeker), Warlock (Undying);#!spells/Level5/Commune.md
no conc,no concentration,no ritual,Cleric*,Druid*,Warlock*;Contagion;5;Necromancy (Black);Death;1 action;;;7 days;V, S;Cleric, Druid, Paladin (Oathbreaker), Warlock;#!spells/Level5/Contagion.md
no ritual,Druid*,Wizard*;Creation;5;Illusion (Shadow);Darkness;1 minute;Concentration;;Concentration, up to 1 hour;V, S;Cleric (Forge), Druid, Wizard;#!spells/Level5/Creation.md
no ritual,Cleric*,Wizard*;Dawn;5;Evocation;Light;1 action;Concentration;;Concentration, up to 1 minute;V, S, M (a fiery beryl worth at least 100 gp);Cleric, Wizard, Sorcerer (Angel), Warlock (Aeonian Flame);#!spells/Level5/Dawn.md
no conc,no concentration,no ritual,Paladin*;Destructive Wave;5;Evocation;Earth;1 action;;;Instantaneous;V, S;Cleric (Tempest), Cleric (Zeal), Warlock (The Sentient Sword), Paladin;#!spells/Level5/Destructive Wave.md
no ritual,Cleric*,Paladin*;Dispel Evil or Good;5;Abjuration;Water;1 action;Concentration;;Concentration, up to 1 minute;V, S, M (holy or unholy water, which this spell consumes);Cleric, Paladin;#!spells/Level5/Dispel Evil or Good.md
no conc,no concentration,no ritual,Bard*,Wizard*;Dominate Person;5;Enchantment (Compulsion);Darkness;1 action;;;1 minute;V, S;Bard, Cleric (Obedience), Cleric (Trickery), Warlock (Great Old One), Paladin (Conquest), Paladin (Oathbreaker), Paladin (Treachery), Warlock (Great Old One), Wizard;#!spells/Level5/Dominate Person.md
no conc,no concentration,no ritual;Draining Thread;5;Hemomancy;Water;1 action;;;Instantaneous;V, S, F;Cleric (Blood);#!spells/Level5/Draining Thread.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Enervation;5;Necromancy (Black);Death;1 action;Optional;;Instantaneous / Concentration, up to 1 minute;V, S;Cleric (Death), Warlock, Wizard;#!spells/Level5/Enervation.md
no conc,no concentration,no ritual,Cleric*,Warlock*;Flame Strike;5;Evocation;Fire;1 action;;;Instantaneous;V, S, M (pinch of sulfur);Cleric, Cleric (Light), Cleric (War), Cleric (Zeal), Warlock, Paladin (Devotion);#!spells/Level5/Flame Strike.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Wizard*;Geas;5;Enchantment (Compulsion);Darkness;1 minute;;;28 days;V;Bard, Cleric, Druid, Paladin, Warlock (Great Old One), Wizard;#!spells/Level5/Geas.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*;Greater Restoration;5;Abjuration;Light;1 action;;;Instantaneous;V, S, M (diamond dust worth 100 gp, which the spell consumes);Bard, Cleric, Cleric (Preservation), Druid, Warlock (Aeonian Flame);#!spells/Level5/Greater Restoration.md
no conc,no concentration,no ritual,Cleric*;Hallow;5;Abjuration;Depends on the effect;24 hours;;;Until dispelled;V, S, M (herbs, oils, and incense worth at least 1,000 gp, which the spell consumes);Cleric, Warlock (Fiend);#!spells/Level5/Hallow.md
no ritual,Bard*,Warlock*,Wizard*;Hold Monster;5;Enchantment (Compulsion);Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Cleric (Blood), Cleric (War), Paladin (Vengeance), Warlock, Wizard;#!spells/Level5/Hold Monster.md
no ritual,Cleric*,Paladin*;Holy Weapon;5;Evocation;Light;1 bonus action;Concentration;;Concentration, up to 1 hour;V, S;Cleric, Paladin, Warlock (Aeonian Flame);#!spells/Level5/Holy Weapon.md
no ritual,Cleric*,Druid*,Paladin*;Insect Plague;5;Conjuration (Summoning);Darkness;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Cleric, Cleric (Nature), Cleric (Tempest), Druid, Paladin, Sorcerer (Darkness Elemental), Warlock (Fiend);#!spells/Level5/Insect Plague.md
no conc,no concentration,no ritual,Bard*,Cleric*,Warlock*,Wizard*;Legend Lore;5;Divination;Aether;10 minutes;;;Instantaneous;V, S, M (incense worth at least 500 gp and four gems, all of which the spell consumes);Bard, Cleric, Cleric (Knowledge), Warlock, Wizard;#!spells/Level5/Legend Lore.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Mass Cure Wounds;5;Necromancy (White);Light;1 action;;;Instantaneous;V, S;Cleric (Life), Cleric (Preservation), Warlock, Wizard;#!spells/Level5/Mass Cure Wounds.md
no ritual,Bard*,Wizard*;Modify Memory;5;Enchantment (Charm);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Cleric (Trickery), Warlock (Void), Wizard;#!spells/Level5/Modify Memory.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Wizard*;Planar Binding;5;Abjuration;Aether;1 hour;;;24 hours;V, S, F, M (a gemstone worth at least 1,000 gp, which the spell consumes);Bard, Cleric, Cleric (Arcana), Druid, Wizard;#!spells/Level5/Planar Binding.md
no conc,no concentration,no ritual,Bard*,Cleric*,Paladin*;Raise Dead;5;Necromancy (White);Light;1 hour;;;Instantaneous;V, S, M (a diamond worth at least 500 gp, which the spell consumes);Bard, Cleric, Cleric (Grave), Cleric (Life), Paladin;#!spells/Level5/Raise Dead.md
no ritual,Bard*,Cleric*,Druid*,Warlock*,Wizard*;Scrying;5;Divination (Scrying);Darkness;10 minutes;Concentration;;Concentration, up to 10 minutes;V, S, M (either a focus worth at least 10,000 gp, such as a crystal ball,  a silver mirror, or a font filled with holy water, or a cosmic opal worth at least 1,000 gp);Bard, Cleric, Cleric (Knowledge), Druid, Paladin (Vengeance), Warlock, Wizard;#!spells/Level5/Scrying.md
no ritual,Warlock*,Wizard*;Shutdown;5;Transmutation;Aether;1 action;Concentration;;Concentration, up to 1 minute;V, S;Cleric (City), Warlock, Wizard;#!spells/Level5/Shutdown.md
no conc,no concentration,no ritual,Bard*,Wizard*;Teleportation Circle;5;Conjuration (Teleportation);Aether;1 minute;;;1 round;V, M (rare chalks and lapis lazuli ink worth 50 gp, which the spell consumes);Bard, Cleric (Arcana), Wizard;#!spells/Level5/Teleportation Circle.md
no ritual,Druid*,Ranger*;Tree Stride;5;Conjuration (Teleportation);Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S;Cleric (Nature), Druid, Paladin (Ancients), Ranger;#!spells/Level5/Tree Stride.md
no ritual,Wizard*;Wall of Force;5;Evocation;Aether;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Cleric (Protection), Wizard;#!spells/Level5/Wall of Force.md
no ritual,Warlock*,Wizard*;Wall of Light;5;Evocation;Light;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Cleric (Light), Warlock, Wizard;#!spells/Level5/Wall of Light.md
no ritual,Cleric*;Blade Barrier;6;Illusion (Shadow);Darkness;1 action;Concentration;;Concentration, up to 10 minutes;V, S;Cleric, Sorcerer (Blade Barrier);#!spells/Level6/Blade Barrier.md
no conc,no concentration,no ritual,Cleric*,Warlock*,Wizard*;Create Undead;6;Necromancy (Black);Death;1 minute;;;Instantaneous;V, S, M (an onyx worth at least 150 gp for each corpse);Cleric, Warlock, Wizard;#!spells/Level6/Create Undead.md
no ritual,Bard*,Cleric*,Druid*;Find the Path;6;Divination;Aether;1 minute;Concentration;;Concentration, up to 1 day;V, S, M (a map, compasses worth at least 100 gp and an object from the location you wish to find);Bard, Cleric, Druid;#!spells/Level6/Find the Path.md
no conc,no concentration,Cleric*;Forbiddance;6;Abjuration;Aether;10 minutes;;Ritual;1 day;V, S, M (a sprinkling of holy or unholy water, rare incense, and powdered gemstone worth at least 1,000 gp, which the spell consumes);Cleric;#!spells/Level6/Forbiddance.md
no conc,no concentration,no ritual,Cleric*;Harm;6;Necromancy (Black);Death;1 action;;;Instantaneous;V, S;Cleric;#!spells/Level6/Harm.md
no conc,no concentration,no ritual,Cleric*,Druid*;Heal;6;Necromancy (White);Light;1 action;;;Instantaneous;V, S;Cleric, Druid;#!spells/Level6/Heal.md
no conc,no concentration,no ritual,Cleric*,Druid*;Heroes' Feast;6;Conjuration (Creation);Light;10 minutes;;;Instantaneous;V, S, M (a gem-encrusted bowl worth at least 1,000 gp, which the spell consumes);Cleric, Druid;#!spells/Level6/Heroes Feast.md
no conc,no concentration,no ritual,Cleric*;Planar Ally;6;Conjuration (Calling);Aether;10 minutes;;;Instantaneous;V, S;Cleric;#!spells/Level6/Planar Ally.md
no conc,no concentration,no ritual,Bard*,Cleric*,Warlock*,Wizard*;True Seeing;6;Divination;Aether;1 action;;;1 hour;V, S, M (an ointment for the eyes that contains mystic quartz dust worth at least 25 gp and is consumed by the spell);Bard, Cleric, Warlock, Wizard;#!spells/Level6/True Seeing.md
no conc,no concentration,no ritual,Cleric*;Word of Recall;6;Conjuration (Teleportation);Aether;1 action;;;Instantaneous;V, F;Cleric;#!spells/Level6/Word of Recall.md
